Species	t.non-ED.T1.All	p.vals.non-ED.T1.All	adj.p.vals.non-ED.T1.All	t.non-ED.T2.All	p.vals.non-ED.T2.All	adj.p.vals.non-ED.T2.All	t.T1.T2.All	p.vals.T1.T2.All	adj.p.vals.T1.T2.All	t.non-ED.T1.CEED	p.vals.non-ED.T1.CEED	adj.p.vals.non-ED.T1.CEED	t.non-ED.T2.CEED	p.vals.non-ED.T2.CEED	adj.p.vals.non-ED.T2.CEED	t.T1.T2.CEED	p.vals.T1.T2.CEED	adj.p.vals.T1.T2.CEED	t.non-ED.T1.ACUTE	p.vals.non-ED.T1.ACUTE	adj.p.vals.non-ED.T1.ACUTE	t.non-ED.T2.ACUTE	p.vals.non-ED.T2.ACUTE	adj.p.vals.non-ED.T2.ACUTE	t.T1.T2.ACUTE	p.vals.T1.T2.ACUTE	adj.p.vals.T1.T2.ACUTE
Absiella argi	-0.359707956	0.719472641	0.79657947	0.055499276	0.955806974	0.965535289	-0.02983915	0.976273556	0.992270022	-1.004716042	0.318315047	0.8587007	-0.358133209	0.721381098	0.93897802	0.510301835	0.613342243	0.999967035	0.700493855	0.486245119	0.530408925	0.74778339	0.457504093	0.502134232	-0.455432081	0.651089903	0.921380555
Absiella sp. 9CBEGH2	-0.035953487	0.971358197	0.981066484	0.574531859	0.56644589	0.650745402	0.936285775	0.352091768	0.779420524	-0.563663204	0.574635079	0.928105654	0.138933768	0.889991896	0.975074329	1.134784623	0.264894571	0.999967035	-0.109136687	0.913360938	0.926192318	0.216917709	0.828909196	0.846889212	0.164749055	0.869913557	0.975280496
Acaryochloris marina	-0.055703768	0.955636706	0.971010752	0.281760345	0.778545067	0.824690963	0.087207305	0.930736099	0.981867219	-0.804106655	0.423570571	0.889392368	-1.402458655	0.16630237	0.731421487	-1.510679211	0.14068296	0.999967035	1.195473003	0.235641359	0.283116012	1.986542541	0.050918319	0.087226622	1.032809526	0.307467152	0.85062341
Acetoanaerobium sticklandii	1.524784961	0.12907892	0.233383421	2.884719696	0.004465098	0.023456538	1.360338997	0.177743886	0.702463343	-0.052980025	0.957898681	0.993340288	2.091456046	0.040639063	0.5442134	1.814826065	0.078934578	0.999967035	2.13639255	0.036030061	0.063032761	2.268163911	0.026519434	0.054429473	0.367052321	0.715380244	0.935416464
Acetobacter aceti	0.250901524	0.802165234	0.859208782	0.498375059	0.618862693	0.693895269	-0.468904269	0.640480365	0.892775014	-0.680887522	0.498181893	0.906169525	-0.000444877	0.999646171	0.99982606	0.079730721	0.936947966	0.999967035	1.955825855	0.054772481	0.086582892	1.628352052	0.108147131	0.152945738	-0.671780626	0.505316812	0.875887122
Acetobacter ascendens	3.687442081	0.000312114	0.004868375	3.536089172	0.000552418	0.006689197	-0.523143323	0.602396486	0.878844347	0.72283382	0.472513474	0.898163436	1.250187474	0.216871363	0.774008543	0.80506543	0.426723485	0.999967035	4.476752238	2.42E-05	0.002019549	4.008886172	0.000147193	0.003516117	-0.960706755	0.342070952	0.853998896
Acetobacter ghanensis	2.887110005	0.004359087	0.024671899	2.82910711	0.005281698	0.026304369	-0.35195632	0.725845055	0.924543713	0.855605468	0.395055072	0.878196122	1.292366685	0.201565572	0.76441572	0.37079873	0.713230892	0.999967035	2.920598572	0.004772088	0.015977872	2.620808794	0.010959864	0.031464319	-0.777783221	0.440955417	0.866663064
Acetobacter orientalis	1.763831055	0.079607677	0.16552917	0.073410889	0.941583613	0.954637308	-2.136191829	0.035883174	0.590055274	-0.396016812	0.693435901	0.948588909	-1.042185462	0.301647554	0.816980795	-1.272456954	0.212379369	0.999967035	2.810566413	0.006248296	0.018925357	1.224769274	0.224656787	0.273345539	-1.730721697	0.090672748	0.84843959
Acetobacter pasteurianus	3.49409553	0.000598877	0.007326513	3.543684464	0.000515583	0.006497983	-0.641899483	0.522869881	0.843808432	1.952330083	0.054860259	0.664037923	1.923524134	0.058820625	0.585869392	-0.633158526	0.531129435	0.999967035	3.303197539	0.001480411	0.00838967	3.385196556	0.001196526	0.009467659	-0.36272342	0.718588392	0.935416464
Acetobacter persici	0.218649589	0.827198673	0.87823691	0.383440997	0.701936675	0.76407443	-0.194006833	0.846688151	0.963174302	-1.733931817	0.087073464	0.69296562	-0.807830047	0.422330651	0.865324996	0.699586988	0.489239942	0.999967035	2.047890027	0.043774727	0.072953503	1.938207732	0.056547498	0.093986541	-0.518125361	0.607026674	0.908338346
Acetobacter senegalensis	2.805323413	0.00557379	0.028728549	1.844816096	0.066883456	0.136068174	-2.096948977	0.039324503	0.609434586	1.884258343	0.063267273	0.682795151	0.6683936	0.506375303	0.881315703	-1.716112156	0.095809296	0.999967035	2.179836975	0.032462876	0.058485791	1.896305607	0.06240383	0.101060748	-1.379505367	0.174871323	0.84843959
Acetobacter sp. KACC 21233	1.220005067	0.22408021	0.34547512	0.415430259	0.678386657	0.744191564	-1.580443105	0.118158626	0.672129934	-1.616809079	0.109682468	0.714671929	-1.722624458	0.08947901	0.641976447	-0.576949824	0.568010345	0.999967035	3.59171483	0.00055892	0.005238583	2.913300855	0.004760706	0.019660674	-1.522224337	0.135273646	0.84843959
Acetobacter tropicalis	2.136491345	0.034000681	0.09309152	3.42945559	0.000782179	0.008110727	1.39975704	0.165654875	0.695015529	1.091076289	0.278873841	0.854248311	1.783027337	0.080068006	0.625249743	0.929286088	0.359698294	0.999967035	2.114375181	0.037724996	0.065136852	3.18872363	0.002126909	0.012629784	1.040994304	0.303696109	0.850407114
Acetobacteraceae bacterium	3.872000767	0.000153459	0.003147321	3.788005461	0.000216071	0.003899108	-0.495437724	0.621720702	0.885804579	2.203471598	0.031222988	0.536895646	2.110613533	0.039192916	0.536537507	-0.394076125	0.696138764	0.999967035	3.117363503	0.002614719	0.011291848	3.072080247	0.003129116	0.015486757	-0.312942675	0.755837038	0.947149157
Acetobacterium sp. KB-1	-0.313274136	0.754417974	0.823459367	-0.134788293	0.892936665	0.917009568	-0.382101807	0.703452231	0.915163581	-2.137381778	0.035472412	0.570126829	-1.640297641	0.104617226	0.657875121	0.286182704	0.776582802	0.999967035	1.827601273	0.072353511	0.10732341	1.577660873	0.119508757	0.165725966	-0.580318653	0.564728667	0.902202337
Acetobacterium woodii	1.155471041	0.249426315	0.372446592	0.562246357	0.574747407	0.656604446	-0.596487227	0.552622427	0.856996497	0.013734304	0.989076879	0.998320865	0.316558611	0.752680453	0.947470992	-0.005364949	0.995752717	0.999967035	1.436801431	0.154922732	0.199089143	0.59634961	0.552926294	0.592017789	-0.694630153	0.491023539	0.870806901
Acetohalobium arabaticum	-0.931750466	0.352670575	0.478200307	0.378564273	0.705586315	0.766695746	1.429061169	0.157084129	0.695015529	-1.17973741	0.241483372	0.841063689	0.26510424	0.791995753	0.958334681	0.962857146	0.342839288	0.999967035	-0.122448437	0.902915569	0.915970931	0.429145055	0.669117968	0.699841487	1.060554499	0.294813255	0.850407114
Acetomicrobium mobile	1.112963177	0.267317263	0.392847898	0.916414883	0.360892334	0.464960499	-0.409543574	0.683292804	0.907022745	-0.846002615	0.400224212	0.879575393	0.54858081	0.585185326	0.89997314	1.101341029	0.278963644	0.999967035	1.877985495	0.063980349	0.097452118	0.85043312	0.397928273	0.444828106	-1.117772424	0.269870509	0.850407114
Acholeplasma axanthum	3.135843723	0.001994275	0.01497862	3.283676872	0.001250537	0.010643925	0.44961262	0.654269494	0.898290637	0.430358574	0.668009185	0.942131	1.574163769	0.120461589	0.683225242	1.035771902	0.308072783	0.999967035	3.826243098	0.000278475	0.003829697	3.349366934	0.001377048	0.010129941	-0.483541279	0.631164756	0.913923968
Acholeplasma brassicae	5.233745848	4.70E-07	6.37E-05	4.816184907	3.45E-06	0.000355475	-0.36726107	0.714444983	0.921319075	3.058035953	0.003394333	0.269510075	2.543453376	0.014078237	0.396922665	-0.916760044	0.36612624	0.999967035	3.130431289	0.002772016	0.011721212	3.057313029	0.00347834	0.016300684	0.092237895	0.926937426	0.983636908
Acholeplasma hippikon	1.169757661	0.243572181	0.365786053	3.072026312	0.002485136	0.016404257	2.024717342	0.046409413	0.618773343	0.291122998	0.77163299	0.959596478	1.419879917	0.16011124	0.728220085	0.911471377	0.368862612	0.999967035	0.999884828	0.321459748	0.369299975	2.407969317	0.019101118	0.043438631	1.838602807	0.072886786	0.84843959
Acholeplasma laidlawii	2.806849758	0.005540714	0.028700175	3.646249226	0.00036266	0.005318377	1.280917267	0.204117755	0.715829265	1.416693005	0.161065261	0.794843766	1.988163747	0.051805683	0.571791857	0.476082579	0.637250015	0.999967035	2.699888779	0.008886605	0.023780332	3.271430288	0.001720438	0.01138589	1.315734933	0.195235086	0.84843959
Acholeplasma oculi	3.39725442	0.000832069	0.00892761	4.182509559	4.79E-05	0.001614514	0.952400804	0.343913	0.77464475	2.426287235	0.01752847	0.476017164	2.14567089	0.035705006	0.5159223	-0.241332461	0.810837189	0.999967035	2.340752514	0.022212614	0.04444122	3.462910258	0.000922751	0.008529876	1.424425445	0.161540742	0.84843959
Acholeplasma palmae	2.485580454	0.013816662	0.050789027	3.328133795	0.00112595	0.01001608	1.146077956	0.255358692	0.740760842	1.5067413	0.13586008	0.760391065	2.201116061	0.032548698	0.503508595	0.924702464	0.362041795	0.999967035	1.953294025	0.055081755	0.086849473	2.451592767	0.016681275	0.040181721	0.71201252	0.480302503	0.870787561
Achromobacter denitrificans	1.452317668	0.148210619	0.255320286	1.562126062	0.120525313	0.204730956	0.16392929	0.870221985	0.967476785	-0.531533607	0.596622855	0.935938422	0.499188432	0.619759851	0.907283963	1.012869117	0.318720315	0.999967035	3.346209959	0.001238616	0.007632184	2.768845065	0.007204966	0.024567607	-0.411122446	0.683024573	0.927062759
Achromobacter insolitus	3.038438121	0.002767919	0.018436415	1.89840607	0.059832134	0.125726655	-1.56370148	0.122042351	0.674936704	1.15041569	0.253882406	0.849207764	0.575328567	0.567435332	0.897668391	-0.952463337	0.348001529	0.999967035	3.349668865	0.001224996	0.007588476	2.345403083	0.021897416	0.047638221	-1.247824827	0.218847869	0.850407114
Achromobacter ruhlandii	1.905751132	0.058200388	0.132627207	1.060868817	0.290290316	0.393904681	-1.609565119	0.111639033	0.670533588	-0.69269847	0.490649314	0.905835983	-1.010190942	0.316241489	0.820029362	-0.207060394	0.837274687	0.999967035	3.184105833	0.00250759	0.011070044	2.434114609	0.018050613	0.041954885	-1.84483248	0.071956845	0.84843959
Achromobacter sp. AONIH1	1.136218407	0.257364938	0.381245823	1.802711867	0.073360431	0.144824955	0.12652598	0.899649728	0.97591495	-0.707483247	0.481130095	0.903005933	0.274814221	0.784266267	0.958334681	0.579931885	0.566021841	0.999967035	2.247459537	0.027338284	0.051281195	2.471105142	0.015836905	0.039138068	-0.207741338	0.836411721	0.969504973
Achromobacter sp. B7	2.080894469	0.038897051	0.10097609	2.218656382	0.027905586	0.075547612	-0.426938138	0.670631443	0.905073472	-0.118936767	0.905615196	0.984559433	0.436572691	0.663765198	0.925199086	0.207725911	0.836759362	0.999967035	3.079795878	0.002853349	0.011879334	3.013360068	0.003621056	0.016757559	-0.591446861	0.557317769	0.899075719
Achromobacter sp. MFA1 R4	1.165639265	0.24532248	0.367729552	0.645247702	0.519852816	0.610725417	-0.965871292	0.337172091	0.771823704	-0.288851374	0.773497368	0.959596478	-0.138263699	0.890553139	0.975074329	-0.451481929	0.654687352	0.999967035	2.127769813	0.036550158	0.063722013	1.400481007	0.165677585	0.213021087	-0.848914889	0.400630081	0.859063901
Achromobacter spanius	2.925073008	0.003903137	0.023078337	2.520508823	0.012783269	0.046346646	-0.871300271	0.386334293	0.78852115	1.010861537	0.315418963	0.858137965	1.396825223	0.168167544	0.733784688	0.248785919	0.805116227	0.999967035	2.969666069	0.003993447	0.014328972	2.301322956	0.024389935	0.051135142	-1.136826951	0.261906377	0.850407114
Achromobacter xylosoxidans	2.562176017	0.011413239	0.044672382	1.997663856	0.047886642	0.108710638	-1.091539621	0.278483854	0.751690894	0.291525892	0.771625506	0.959596478	0.674948219	0.503051264	0.880636033	0.134509214	0.893842395	0.999967035	3.479408672	0.000817292	0.006239714	2.731391725	0.007964177	0.025948571	-1.278185618	0.208040741	0.850407114
Acidaminococcus fermentans	2.519417057	0.012674161	0.047920399	1.647684786	0.101455029	0.181679847	-1.731130912	0.087486383	0.658891444	0.151571008	0.879942965	0.982249006	-0.245252	0.807031766	0.960846661	-0.91422216	0.36743769	0.999967035	3.576602888	0.000589936	0.00539157	2.881419938	0.005219529	0.020560014	-1.46399458	0.150468231	0.84843959
Acidaminococcus intestini	1.588301626	0.113889672	0.213358784	1.492157852	0.137511855	0.22558763	-0.989353255	0.325629777	0.768521658	0.380405497	0.704739849	0.951165526	-0.11113915	0.911931381	0.979414862	-1.306671273	0.200637721	0.999967035	2.258375663	0.028423072	0.052834593	2.560579866	0.013975826	0.036112338	-0.184840117	0.854223497	0.971386803
Acidianus brierleyi	2.930168654	0.003816886	0.022762074	2.148356147	0.033356823	0.08527931	-0.197470958	0.843986198	0.961639051	1.111769176	0.269833976	0.85158483	0.548765158	0.585678814	0.89997314	-0.313370552	0.756032683	0.999967035	2.419179865	0.018611946	0.039198634	2.077190339	0.041840716	0.075381103	0.031475407	0.97503605	0.995333477
Acidianus manzaensis	0.871237128	0.38474206	0.50877858	1.383337153	0.168582815	0.26231335	0.988525309	0.326032236	0.768521658	0.12681067	0.899406733	0.984017812	0.905712926	0.369104477	0.846894788	0.762715566	0.451219173	0.999967035	0.993575375	0.324519693	0.372430406	1.095249335	0.277615697	0.327320332	0.629317861	0.532470453	0.885421315
Acidianus sulfidivorans	1.37739624	0.170136337	0.282105538	2.209749952	0.028885883	0.077075247	1.415007212	0.161150816	0.695015529	0.790744468	0.431800774	0.890069634	1.114192926	0.270893364	0.80172362	0.371874485	0.712437571	0.999967035	1.038562217	0.302786669	0.350528703	1.759904259	0.082748599	0.125147405	1.565545263	0.124785636	0.84843959
Acidibrevibacterium fodinaquatile	3.168733315	0.001798932	0.014062147	3.534136552	0.000534547	0.00660477	0.292873253	0.770417186	0.939788494	1.091072918	0.27864496	0.854248311	1.89456059	0.063134792	0.600929191	0.819573413	0.418522021	0.999967035	3.074513521	0.003018159	0.01223554	2.999772796	0.003914644	0.017475975	-0.11857124	0.906167242	0.982106285
Acidiferrobacter sp. SPIII_3	3.613520571	0.000402303	0.005690363	2.489607716	0.014081056	0.049283694	-1.520362079	0.132569674	0.684292378	1.194799853	0.236063147	0.836226239	0.421669443	0.675119789	0.929548071	-0.722387457	0.47530282	0.999967035	4.026450469	0.000126265	0.002944219	3.302117495	0.001501129	0.010561107	-1.345753799	0.185435116	0.84843959
Acidihalobacter ferrooxidans	2.273694958	0.024178286	0.074372382	1.982704168	0.049358192	0.110618077	-0.891341247	0.375559399	0.786879765	0.001934778	0.998462166	0.999445619	0.740363394	0.462230934	0.870512078	0.147346991	0.883782618	0.999967035	3.860740891	0.00023876	0.003675982	2.786644792	0.006809179	0.023807197	-1.162686909	0.251368802	0.850407114
Acidihalobacter prosperus	2.655246386	0.008698002	0.037797883	2.307827329	0.022595779	0.065649418	-0.918930675	0.361039176	0.784011988	0.53914342	0.591726581	0.934317275	1.089266203	0.281896031	0.807201516	0.445435917	0.659003742	0.999967035	2.992215738	0.003732773	0.01379671	2.286021309	0.025226067	0.052472486	-1.425957765	0.161100411	0.84843959
Acidilobus saccharovorans	2.457220467	0.014986033	0.05391092	1.488297485	0.138750462	0.226729626	-1.335661542	0.1856462	0.703834637	0.445406737	0.657576371	0.941632966	0.235690108	0.814582897	0.964085642	-0.227598773	0.821406133	0.999967035	3.053481491	0.003161974	0.012599116	2.106348404	0.038934214	0.071630706	-1.541843509	0.130439541	0.84843959
Acidilobus sp. 7A	2.419325333	0.016762508	0.058026589	1.718951155	0.088064833	0.164075341	-0.972850255	0.333713967	0.770329599	1.684043012	0.098339171	0.705717369	-0.307991492	0.759497383	0.94942631	-2.552099075	0.015683438	0.829224973	2.056593393	0.043162097	0.072105481	2.452881561	0.01667398	0.040181721	0.008723987	0.993079704	0.997628676
Acidimicrobium ferrooxidans	2.9734106	0.003389148	0.02107034	3.869060566	0.000159908	0.00324368	0.533252141	0.595415074	0.874310781	1.178260479	0.243383352	0.844108569	1.648531805	0.104680363	0.657875121	-0.026139193	0.979308649	0.999967035	3.459402183	0.000875193	0.006437199	4.240348282	7.00E-05	0.002749534	0.635576712	0.528420558	0.883031106
Acidiphilium cryptum	1.487809586	0.138520446	0.244651215	1.587979404	0.114391694	0.197143886	-0.35860457	0.720885174	0.92378795	-0.190568446	0.849444916	0.973785004	1.19658857	0.236342005	0.781205076	0.836821934	0.408898746	0.999967035	2.633832477	0.010543459	0.026672983	1.715612945	0.090647789	0.133781309	-1.189728695	0.240680814	0.850407114
Acidiphilium multivorum	-1.159038542	0.247941903	0.37084529	-0.012055232	0.990396654	0.990931521	1.30992764	0.194166021	0.710918805	-1.600305099	0.113663009	0.725303103	0.500592774	0.618293869	0.907200983	2.325264756	0.026557444	0.893513085	0.253447599	0.800685027	0.823959893	0.222190098	0.824839349	0.843041027	-0.034168025	0.972901283	0.994553123
Acidipropionibacterium acidipropionici	4.005129781	9.46E-05	0.002337824	3.62820567	0.000390183	0.005503872	-1.588020263	0.116433679	0.67080868	1.340437321	0.184907822	0.807334168	1.442415214	0.155039815	0.719291562	-0.260688148	0.796003318	0.999967035	4.795788164	7.17E-06	0.001386486	4.511471692	2.47E-05	0.002080813	-1.659297326	0.104333204	0.84843959
Acidipropionibacterium jensenii	2.476772224	0.01431911	0.052187289	1.935911853	0.054793814	0.118638106	-1.506760252	0.136017608	0.684292378	0.275631302	0.783745873	0.962544956	0.568717643	0.571911319	0.897668391	-0.329081019	0.74423863	0.999967035	3.546069447	0.000649566	0.005606956	2.876519086	0.005303269	0.020683223	-1.52110423	0.135553905	0.84843959
Acidipropionibacterium virtanenii	1.119740538	0.264448703	0.389765551	0.705351598	0.481768031	0.577332194	-0.61165848	0.542589169	0.85307352	-0.703271669	0.484194983	0.904612596	0.065186113	0.948282849	0.989045167	0.542087407	0.591513507	0.999967035	2.80101694	0.006353387	0.019108293	1.943107346	0.055928854	0.093265098	-1.065107812	0.292771578	0.850407114
Acidisarcina polymorpha	0.651730099	0.515391713	0.629945904	1.141010591	0.255530681	0.358918253	0.05992228	0.952374826	0.986084069	-0.744577061	0.458413736	0.894984069	0.277884774	0.781937794	0.958214522	0.551143655	0.585363201	0.999967035	1.964682764	0.052950723	0.084375034	2.02891555	0.046285348	0.081178278	-0.272934765	0.786209913	0.954009684
Acidithiobacillus caldus	2.018418728	0.045202942	0.112304651	3.186785206	0.001779017	0.013272184	0.665773264	0.507571759	0.839438326	0.108862865	0.913629118	0.985476433	0.846705393	0.400874062	0.86371393	0.561204658	0.578567235	0.999967035	3.322708381	0.001338462	0.007914013	4.384094234	4.00E-05	0.002323316	0.462461719	0.646081953	0.918550449
Acidithiobacillus ferrivorans	0.449634709	0.653591318	0.74561998	1.124371303	0.262887114	0.366633327	0.561528793	0.576089264	0.864189893	-0.436125522	0.664236696	0.941632966	0.336600278	0.737844825	0.943707271	0.495335444	0.623747864	0.999967035	0.903567354	0.368896423	0.416309912	1.227969665	0.223458711	0.27215804	0.327650595	0.744765831	0.946366824
Acidithiobacillus ferrooxidans	1.343660749	0.180685913	0.293984867	2.111535266	0.036274177	0.090152886	0.796446015	0.428253767	0.800715375	0.256985144	0.797873113	0.967047484	0.810926565	0.420610616	0.865324996	0.360949033	0.720509612	0.999967035	1.745749364	0.085218916	0.122231416	2.316785674	0.02352262	0.049911757	0.710716451	0.481097306	0.870787561
Acidithiobacillus thiooxidans	0.428255866	0.668956058	0.757396165	-1.88889854	0.060792271	0.1269671	-2.424471081	0.017706743	0.498767383	-1.089730677	0.279211194	0.854248311	-0.998223539	0.321689893	0.823561688	-0.037658784	0.970193695	0.999967035	2.44153745	0.016929715	0.036624702	-0.947373773	0.346694121	0.396348032	-2.822940185	0.007179754	0.746209001
Acidobacterium capsulatum	3.103432725	0.00226848	0.016289676	1.592983123	0.113504649	0.196017029	-2.275810491	0.025674802	0.551685645	1.059842259	0.293382125	0.854248311	1.159903257	0.251713586	0.792940583	-0.367959634	0.715326157	0.999967035	3.185855997	0.002042179	0.009956521	1.253868198	0.213959449	0.262978022	-2.434010082	0.019160434	0.842902568
Acidothermus cellulolyticus	1.1699742	0.243757212	0.365965042	-0.330691419	0.74134007	0.796032158	-1.840427321	0.069609152	0.640685488	-0.598293187	0.551361538	0.924613094	-1.799937763	0.077242881	0.622197008	-1.928441843	0.062712106	0.999967035	2.203662468	0.030352257	0.055510973	1.63630096	0.106285988	0.150967933	-1.130393544	0.264576312	0.850407114
Acidovorax avenae	1.6063988	0.110348663	0.208966907	1.415421738	0.159202526	0.251448604	-1.130774989	0.261705617	0.741563712	-0.244465885	0.807593964	0.968069344	0.667589251	0.507133405	0.881851814	0.385393574	0.702495884	0.999967035	2.506451952	0.014256707	0.032729771	1.903855935	0.060983361	0.099450946	-1.498874638	0.141212501	0.84843959
Acidovorax carolinensis	2.83350901	0.005150478	0.027470537	3.061748362	0.002653223	0.017152399	-0.256081023	0.798580149	0.947429206	0.621521753	0.536189213	0.922269479	0.811740181	0.420683471	0.865324996	-0.103210302	0.91844018	0.999967035	3.463853757	0.000873523	0.006437199	3.676570191	0.000452579	0.006059327	-0.235442518	0.814983021	0.964376332
Acidovorax cattleyae	1.055145268	0.29278104	0.41928913	0.84868754	0.39740416	0.498819405	-0.552580422	0.58217235	0.866124438	-1.071583085	0.287758964	0.854248311	-0.132209553	0.895248609	0.977387144	1.005594657	0.322154442	0.999967035	2.926198343	0.004602873	0.015644945	1.91894151	0.058992564	0.097034824	-1.246497132	0.219329828	0.850407114
Acidovorax citrulli	1.599824389	0.111372203	0.210189034	1.774472967	0.077910531	0.15098561	-0.338153658	0.736179744	0.927230818	-0.198344577	0.843300273	0.973149447	0.462688687	0.645178743	0.918513019	0.195493254	0.846242881	0.999967035	2.519192121	0.013950732	0.032280669	2.32001995	0.023309876	0.049641164	-0.49559253	0.622705385	0.911700398
Acidovorax ebreus	-0.625853022	0.532187984	0.645266321	0.530429241	0.596581221	0.674491136	0.878953494	0.382197068	0.788065534	-1.746564967	0.08495899	0.688860986	-0.879841646	0.382914769	0.857469897	0.165902319	0.869277582	0.999967035	0.603585097	0.548361286	0.590314163	1.441006785	0.154749522	0.201664207	0.958324793	0.343256555	0.853998896
Acidovorax sp. 1608163	0.340872157	0.73358207	0.807216223	0.145290508	0.884672526	0.910557389	-0.374111981	0.709362734	0.918487017	-0.819410006	0.414580919	0.886221962	0.18127709	0.856676623	0.969830009	0.724303697	0.474141968	0.999967035	1.251933317	0.214706797	0.261468093	0.475790553	0.635679433	0.668768936	-0.81796827	0.417885023	0.862018204
Acidovorax sp. HDW3	4.668372152	6.30E-06	0.000389293	4.219057434	4.49E-05	0.001559917	-1.094528409	0.277180067	0.751129602	2.50725834	0.014745215	0.462944235	1.500192373	0.140128096	0.698213649	-1.244110307	0.222495222	0.999967035	3.557392733	0.000654081	0.005618832	3.796498874	0.00031318	0.004945047	-0.500985342	0.618936446	0.910095159
Acidovorax sp. JS42	1.127888857	0.260851398	0.385485793	0.498861499	0.618550198	0.693824824	-1.225257957	0.224261755	0.730653319	0.032872148	0.973864326	0.995492277	-0.566081174	0.57330311	0.897668391	-1.131518892	0.266245429	0.999967035	1.657372378	0.101916595	0.14122474	1.376937812	0.173326779	0.220799963	-0.68896881	0.494543852	0.872306971
Acidovorax sp. KKS102	3.768213199	0.000233219	0.004065025	3.429272284	0.000816022	0.008276367	-0.885881504	0.378475871	0.786879765	0.927674228	0.356903123	0.874491668	0.865492388	0.391303798	0.859766066	-0.382522885	0.704602553	0.999967035	4.248475307	5.66E-05	0.002280204	4.208790029	7.33E-05	0.002771075	-0.796621614	0.430047375	0.866524835
Acidovorax sp. RAC01	4.857884144	2.66E-06	0.000224049	3.795943491	0.000220451	0.00395907	-1.738693365	0.086138174	0.658891444	2.499560365	0.014895107	0.462944235	1.352169524	0.182501202	0.751203801	-1.192496546	0.241834564	0.999967035	3.841476586	0.000264664	0.003737144	3.505414297	0.000807074	0.007978128	-1.278734591	0.207849083	0.850407114
Acidovorax sp. T1	3.9038169	0.000135488	0.00286327	3.493088909	0.000635437	0.007242777	-0.766418667	0.445801318	0.808787645	1.153950704	0.25228895	0.84816343	1.054183324	0.296768596	0.816980795	-0.245344467	0.807756404	0.999967035	4.274066132	5.30E-05	0.002231356	4.051385226	0.000128476	0.003433037	-0.740640569	0.462936755	0.866663064
Aciduliprofundum boonei	1.505709736	0.133829974	0.239095787	2.741231741	0.006776216	0.030968226	0.645580771	0.520495291	0.843255057	0.099463992	0.921024921	0.985950791	0.547567807	0.585913208	0.900084469	-0.047715769	0.962239329	0.999967035	2.128443728	0.037156014	0.064474907	3.348775667	0.001482679	0.01047107	0.787971365	0.435035887	0.866524835
Acinetobacter baumannii	1.418387358	0.15772812	0.265330778	2.642022533	0.009049968	0.037299168	1.648348831	0.103409346	0.66788956	0.400025503	0.690122013	0.94755389	1.284622068	0.20370612	0.768113035	0.92770146	0.360507346	0.999967035	1.675992884	0.098705814	0.137598925	2.499468702	0.015014606	0.037779884	1.351752798	0.183522603	0.84843959
Acinetobacter baylyi	3.272000357	0.001284642	0.011534801	3.677592704	0.000320547	0.004907994	0.031824123	0.974695737	0.992001527	1.857560876	0.067574302	0.686629192	1.98810977	0.051604944	0.571791857	0.031421932	0.975128219	0.999967035	2.055284707	0.043827482	0.073015968	2.352064615	0.02218996	0.047915033	0.015821923	0.987449644	0.995603788
Acinetobacter bereziniae	0.510926322	0.610075047	0.710709938	2.367613538	0.01928268	0.059940233	1.735401805	0.086722864	0.658891444	-0.389723322	0.697997009	0.94960944	0.491909158	0.624996592	0.907283963	0.51394697	0.610820102	0.999967035	1.22469721	0.224440929	0.271537371	2.854158936	0.005686392	0.021465197	1.791271784	0.080289855	0.84843959
Acinetobacter calcoaceticus	0.950339765	0.343169533	0.469098531	2.08183524	0.038885515	0.094008565	0.584886807	0.560356305	0.859212784	-0.410121124	0.682731995	0.945389053	1.238578475	0.219517682	0.774008543	1.279468225	0.209931797	0.999967035	1.473885874	0.145034658	0.188871281	1.751762451	0.084509725	0.126867893	-0.245340541	0.807359944	0.960998501
Acinetobacter chinensis	1.022068824	0.308158965	0.434597191	1.145406374	0.253900594	0.357260633	-0.352661321	0.725318533	0.924543713	0.77529601	0.440863882	0.890069634	1.471324959	0.146499091	0.707962992	0.226184148	0.822496745	0.999967035	0.980088381	0.330192272	0.378165547	0.664332454	0.508626777	0.55084716	-0.602293978	0.55014155	0.895631732
Acinetobacter cumulans	3.749535749	0.000235404	0.004088676	4.082982851	7.05E-05	0.001989058	1.008031375	0.316638057	0.768521658	2.50791694	0.013903912	0.462944235	2.799771191	0.006623133	0.337719011	0.659644397	0.514201912	0.999967035	3.389601036	0.001177378	0.007427774	3.51552581	0.000766168	0.007742477	0.759464405	0.451718428	0.866663064
Acinetobacter defluvii	3.696720048	0.000290171	0.004675335	3.464191343	0.000693283	0.007675836	0.659272245	0.511713686	0.84000838	1.977151554	0.051302824	0.644181792	2.28301109	0.026128141	0.475707309	0.87304477	0.389143111	0.999967035	3.224673333	0.001871963	0.009500536	2.750137106	0.007593328	0.025387021	0.220745298	0.826335574	0.968257334
Acinetobacter dispersus	-0.30801268	0.75841695	0.826687861	0.062100897	0.950562952	0.961569994	-0.236074553	0.814009874	0.95304246	0.22513215	0.822496173	0.969628793	0.407048473	0.685719858	0.929548071	0.050719857	0.959864034	0.999967035	-0.134590169	0.893376565	0.907914966	0.0661868	0.947455034	0.953286582	-0.325484023	0.746393332	0.946635625
